,year,annual_temp_anomaly,annual_temp_anomaly_norm,co2_min,co2_min_norm,co2_max,co2_max_norm
64,1880,-0.13,0.22222222222222224,,,,
65,1881,-0.09,0.25,,,,
66,1882,-0.1,0.24305555555555555,,,,
67,1883,-0.19,0.18055555555555558,,,,
68,1884,-0.27,0.125,,,,
69,1885,-0.26,0.13194444444444445,,,,
70,1886,-0.25,0.1388888888888889,,,,
71,1887,-0.29,0.11111111111111113,,,,
72,1888,-0.14,0.2152777777777778,,,,
73,1889,-0.09,0.25,,,,
74,1890,-0.34,0.07638888888888888,,,,
75,1891,-0.25,0.1388888888888889,,,,
76,1892,-0.3,0.10416666666666669,,,,
77,1893,-0.33,0.08333333333333333,,,,
78,1894,-0.31,0.09722222222222224,,,,
79,1895,-0.24,0.14583333333333334,,,,
80,1896,-0.1,0.24305555555555555,,,,
81,1897,-0.1,0.24305555555555555,,,,
82,1898,-0.27,0.125,,,,
83,1899,-0.16,0.20138888888888892,,,,
84,1900,-0.07,0.2638888888888889,,,,
85,1901,-0.15,0.20833333333333337,,,,
86,1902,-0.26,0.13194444444444445,,,,
87,1903,-0.37,0.055555555555555566,,,,
88,1904,-0.45,0.0,,,,
89,1905,-0.27,0.125,,,,
90,1906,-0.21,0.16666666666666669,,,,
91,1907,-0.38,0.04861111111111112,,,,
92,1908,-0.43,0.013888888888888902,,,,
93,1909,-0.44,0.006944444444444451,,,,
94,1910,-0.4,0.03472222222222222,,,,
95,1911,-0.44,0.006944444444444451,,,,
96,1912,-0.34,0.07638888888888888,,,,
97,1913,-0.32,0.09027777777777779,,,,
98,1914,-0.14,0.2152777777777778,,,,
99,1915,-0.09,0.25,,,,
100,1916,-0.32,0.09027777777777779,,,,
101,1917,-0.39,0.041666666666666664,,,,
102,1918,-0.3,0.10416666666666669,,,,
103,1919,-0.25,0.1388888888888889,,,,
104,1920,-0.23,0.1527777777777778,,,,
105,1921,-0.16,0.20138888888888892,,,,
106,1922,-0.25,0.1388888888888889,,,,
107,1923,-0.25,0.1388888888888889,,,,
108,1924,-0.24,0.14583333333333334,,,,
109,1925,-0.18,0.18750000000000003,,,,
110,1926,-0.07,0.2638888888888889,,,,
111,1927,-0.17,0.19444444444444448,,,,
112,1928,-0.18,0.18750000000000003,,,,
113,1929,-0.33,0.08333333333333333,,,,
114,1930,-0.11,0.23611111111111113,,,,
115,1931,-0.06,0.27083333333333337,,,,
116,1932,-0.13,0.22222222222222224,,,,
117,1933,-0.26,0.13194444444444445,,,,
118,1934,-0.11,0.23611111111111113,,,,
119,1935,-0.16,0.20138888888888892,,,,
120,1936,-0.12,0.22916666666666669,,,,
121,1937,-0.01,0.3055555555555556,,,,
122,1938,-0.02,0.2986111111111111,,,,
123,1939,0.01,0.3194444444444445,,,,
124,1940,0.16,0.4236111111111111,,,,
125,1941,0.27,0.5,,,,
126,1942,0.11,0.38888888888888895,,,,
127,1943,0.11,0.38888888888888895,,,,
128,1944,0.28,0.5069444444444444,,,,
129,1945,0.18,0.4375,,,,
130,1946,-0.01,0.3055555555555556,,,,
131,1947,-0.03,0.2916666666666667,,,,
132,1948,-0.05,0.2777777777777778,,,,
133,1949,-0.07,0.2638888888888889,,,,
134,1950,-0.15,0.20833333333333337,,,,
135,1951,0.0,0.3125,,,,
136,1952,0.04,0.3402777777777778,,,,
137,1953,0.13,0.40277777777777785,,,,
138,1954,-0.1,0.24305555555555555,,,,
139,1955,-0.13,0.22222222222222224,,,,
140,1956,-0.18,0.18750000000000003,,,,
141,1957,0.07,0.36111111111111116,,,,
0,1958,0.12,0.39583333333333337,312.43,0.0,317.51,0.04761012183692582
1,1959,0.08,0.3680555555555556,313.33,0.008434864104966985,318.29,0.05492033739456433
2,1960,0.05,0.3472222222222222,313.83,0.013120899718837651,320.04,0.07132146204311167
3,1961,0.09,0.37500000000000006,314.99,0.023992502343017832,320.58,0.07638238050609164
4,1962,0.1,0.3819444444444445,315.42,0.028022492970946666,321.02,0.08050609184629781
5,1963,0.12,0.39583333333333337,315.99,0.033364573570759164,322.25,0.09203373945641981
6,1964,-0.14,0.2152777777777778,316.7,0.04001874414245531,322.26,0.09212746016869715
7,1965,-0.07,0.2638888888888889,317.3,0.04564198687910033,322.17,0.09128397375820066
8,1966,-0.01,0.3055555555555556,318.1,0.0531396438612935,324.08,0.1091846298031863
9,1967,0.0,0.3125,319.25,0.06391752577319582,325.0,0.11780693533270847
10,1968,-0.03,0.2916666666666667,320.25,0.07328959700093715,325.57,0.12314901593252098
11,1969,0.1,0.3819444444444445,321.78,0.08762886597938113,327.38,0.1401124648547328
12,1970,0.06,0.3541666666666667,323.06,0.09962511715089031,328.13,0.1471415182755388
13,1971,-0.07,0.2638888888888889,323.36,0.10243673851921282,328.93,0.15463917525773196
14,1972,0.04,0.3402777777777778,324.84,0.11630740393626963,330.07,0.16532333645735697
15,1973,0.19,0.4444444444444445,327.18,0.13823805060918465,332.48,0.18791002811621382
16,1974,-0.06,0.27083333333333337,327.28,0.13917525773195846,333.19,0.19456419868790997
17,1975,0.01,0.3194444444444445,328.36,0.1492970946579195,333.95,0.2016869728209933
18,1976,-0.07,0.2638888888888889,328.72,0.1526710402999065,334.74,0.20909090909090913
19,1977,0.21,0.45833333333333337,331.28,0.17666354264292378,336.93,0.22961574507966262
20,1978,0.12,0.39583333333333337,332.36,0.1867853795688848,338.02,0.23983130271790046
21,1979,0.23,0.47222222222222227,333.97,0.20187441424554847,339.26,0.2514526710402998
22,1980,0.28,0.5069444444444444,336.14,0.22221180880974678,341.45,0.27197750702905327
23,1981,0.32,0.5347222222222222,336.95,0.2298031865042173,343.04,0.2868791002811623
24,1982,0.19,0.4444444444444445,338.38,0.24320524835988747,344.77,0.30309278350515445
25,1983,0.36,0.5625000000000001,340.46,0.26269915651358927,346.14,0.3159325210871601
26,1984,0.17,0.4305555555555556,341.59,0.2732895970009369,347.78,0.33130271790065574
27,1985,0.16,0.4236111111111111,343.35,0.28978444236176215,349.28,0.34536082474226776
28,1986,0.23,0.47222222222222227,344.82,0.3035613870665416,350.52,0.3569821930646671
29,1987,0.38,0.576388888888889,346.66,0.32080599812558597,352.15,0.3722586691658854
30,1988,0.39,0.5833333333333334,348.97,0.3424554826616685,354.35,0.39287722586691676
31,1989,0.29,0.513888888888889,350.09,0.35295220243673825,355.95,0.4078725398313026
32,1990,0.45,0.625,351.38,0.36504217432052477,357.38,0.4212746016869728
33,1991,0.39,0.5833333333333334,352.34,0.3740393626991563,359.23,0.43861293345829444
34,1992,0.24,0.47916666666666663,353.01,0.3803186504217431,359.71,0.4431115276476099
35,1993,0.28,0.5069444444444444,354.14,0.39090909090909076,360.3,0.4486410496719776
36,1994,0.34,0.5486111111111112,355.86,0.4070290534208061,361.78,0.4625117150890344
37,1995,0.47,0.6388888888888888,358.14,0.4283973758200561,363.83,0.4817244611059042
38,1996,0.32,0.5347222222222222,359.69,0.44292408622305524,365.25,0.4950328022492971
39,1997,0.51,0.6666666666666666,360.44,0.44995313964386124,366.77,0.5092783505154638
40,1998,0.65,0.763888888888889,364.16,0.48481724461105924,369.56,0.5354264292408623
41,1999,0.44,0.6180555555555556,364.95,0.49222118088097455,371.15,0.5503280224929707
42,2000,0.42,0.6041666666666667,367.15,0.5128397375820054,371.98,0.5581068416119964
43,2001,0.57,0.7083333333333334,368.34,0.5239925023430175,374.03,0.5773195876288657
44,2002,0.62,0.7430555555555556,370.73,0.5463917525773198,375.93,0.5951265229615745
45,2003,0.64,0.7569444444444445,373.31,0.5705716963448922,378.78,0.621836925960637
46,2004,0.58,0.7152777777777778,374.43,0.5810684161199626,380.8,0.6407685098406749
47,2005,0.67,0.7777777777777779,376.89,0.604123711340206,382.64,0.6580131208997188
48,2006,0.63,0.7500000000000001,379.04,0.6242736644798502,385.22,0.6821930646672917
49,2007,0.62,0.7430555555555556,381.2,0.6445173383317713,386.78,0.6968134957825677
50,2008,0.54,0.6875,383.21,0.6633552014995312,388.78,0.7155576382380504
51,2009,0.64,0.7569444444444445,384.64,0.6767572633552014,390.36,0.730365510777882
52,2010,0.72,0.8125,387.03,0.699156513589503,393.21,0.7570759137769445
53,2011,0.57,0.7083333333333334,389.19,0.7194001874414245,394.41,0.7683223992502346
54,2012,0.63,0.7500000000000001,391.27,0.7388940955951264,396.93,0.7919400187441425
55,2013,0.67,0.7777777777777779,393.72,0.7618556701030931,400.02,0.8208997188378631
56,2014,0.74,0.8263888888888888,395.64,0.7798500468603561,401.96,0.8390815370196811
57,2015,0.92,0.951388888888889,397.82,0.8002811621368322,404.15,0.8596063730084347
58,2016,0.99,1.0,401.23,0.8322399250234304,407.9,0.8947516401124647
59,2017,0.91,0.9444444444444445,403.57,0.8541705716963448,409.89,0.91340206185567
60,2018,0.82,0.8819444444444445,405.71,0.8742268041237112,411.44,0.9279287722586692
61,2019,0.94,0.9652777777777778,408.75,0.9027179006560451,414.86,0.9599812558575447
62,2020,,,411.51,0.9285848172446111,417.31,0.9829428303655109
63,2021,,,413.3,0.9453608247422682,419.13,1.0
